trt,site,yr,month,day,line,ring,count
untrtpd,untrtpd_2,2022,6,23,6,3,0
untrtpd,untrtpd_2,2022,6,23,6,4,1
untrtpd,untrtpd_2,2022,6,23,6,5,0
untrtpd,untrtpd_2,2022,6,23,6,6,1
untrtpd,untrtpd_2,2022,6,23,6,7,2
untrtpd,untrtpd_2,2022,6,23,6,8,1
untrtpd,untrtpd_2,2022,6,23,6,9,3
untrtpd,untrtpd_2,2022,6,23,6,10,0
untrtpd,untrtpd_2,2022,6,23,6,11,1
untrtpd,untrtpd_2,2022,6,23,6,12,0
untrtpd,untrtpd_2,2022,6,23,6,13,0
untrtpd,untrtpd_2,2022,6,23,6,14,1
untrtpd,untrtpd_2,2022,6,23,6,15,1
untrtpd,untrtpd_3,2022,6,21,1,1,2
untrtpd,untrtpd_3,2022,6,21,1,2,0
untrtpd,untrtpd_3,2022,6,21,1,3,0
untrtpd,untrtpd_3,2022,6,21,1,4,1
untrtpd,untrtpd_3,2022,6,21,1,5,2
untrtpd,untrtpd_3,2022,6,21,1,6,1
untrtpd,untrtpd_3,2022,6,21,1,7,1
untrtpd,untrtpd_3,2022,6,21,1,8,3
untrtpd,untrtpd_3,2022,6,21,1,9,2
untrtpd,untrtpd_3,2022,6,21,1,10,1
untrtpd,untrtpd_3,2022,6,21,1,11,1
untrtpd,untrtpd_3,2022,6,21,1,12,0
untrtpd,untrtpd_3,2022,6,21,1,13,0
untrtpd,untrtpd_3,2022,6,21,1,14,2
untrtpd,untrtpd_3,2022,6,21,1,15,1
untrtpd,untrtpd_3,2022,6,21,6,1,3
untrtpd,untrtpd_3,2022,6,21,6,2,2
untrtpd,untrtpd_3,2022,6,21,6,3,3
untrtpd,untrtpd_3,2022,6,21,6,4,6
untrtpd,untrtpd_3,2022,6,21,6,5,3
untrtpd,untrtpd_3,2022,6,21,6,6,1
untrtpd,untrtpd_3,2022,6,21,6,7,2
untrtpd,untrtpd_3,2022,6,21,6,8,2
untrtpd,untrtpd_3,2022,6,21,6,9,5
untrtpd,untrtpd_3,2022,6,21,6,10,0
untrtpd,untrtpd_3,2022,6,21,6,11,1
untrtpd,untrtpd_3,2022,6,21,6,12,1
untrtpd,untrtpd_3,2022,6,21,6,13,2
untrtpd,untrtpd_3,2022,6,21,6,14,0
